Scientific name	Epithet	Kingdom	Phylum	Class	Order	Family	Genus	Species
Hepomadus tener	tener	Animalia	Arthropoda	Malacostraca	Decapoda	Aristeidae	Hepomadus	Hepomadus tener
Rochinia crassa	crassa	Animalia	Arthropoda	Malacostraca	Decapoda	Pisidae	Rochinia	Rochinia crassa
Acanthacaris caeca	caeca	Animalia	Arthropoda	Malacostraca	Decapoda	Nephropidae	Acanthacaris	Acanthacaris caeca
Pleoticus robustus	robustus	Animalia	Arthropoda	Malacostraca	Decapoda	Solenoceridae	Pleoticus	Pleoticus robustus
Leiolambrus nitidus	nitidus	Animalia	Arthropoda	Malacostraca	Decapoda	Parthenopidae	Leiolambrus	Leiolambrus nitidus
Neolithodes agassizii	agassizii	Animalia	Arthropoda	Malacostraca	Decapoda	Lithodidae	Neolithodes	Neolithodes agassizii
Munida valida	valida	Animalia	Arthropoda	Malacostraca	Decapoda	Galatheidae	Munida	Munida valida
Munidopsis robusta	robusta	Animalia	Arthropoda	Malacostraca	Decapoda	Galatheidae	Munidopsis	Munidopsis robusta
Iliacantha liodactylus	liodactylus	Animalia	Arthropoda	Malacostraca	Decapoda	Leucosiidae	Iliacantha	Iliacantha liodactylus
Calappa sulcata	sulcata	Animalia	Arthropoda	Malacostraca	Decapoda	Calappidae	Calappa	Calappa sulcata
Callinectes sapidus	sapidus	Animalia	Arthropoda	Malacostraca	Decapoda	Portunidae	Callinectes	Callinectes sapidus
Pinnotheres hemphilli	hemphilli	Animalia	Arthropoda	Malacostraca	Decapoda	Pinnotheridae	Pinnotheres	Pinnotheres hemphilli
Anasimus latus	latus	Animalia	Arthropoda	Malacostraca	Decapoda	Inachoididae	Anasimus	Anasimus latus
Callinectes rathbunae	rathbunae	Animalia	Arthropoda	Malacostraca	Decapoda	Portunidae	Callinectes	Callinectes rathbunae
Aphelocoma ultramarina	ultramarina	Animalia	Chordata	Aves	Passeriformes	Corvidae	Aphelocoma	Aphelocoma ultramarina
